"uid","do_extid","do_aktid","do_titel","do_datum_start","do_datum_ende","do_ausstellungsort","do_umfang","do_band","do_bemerkung","do_edition","do_sperrfrist","do_sperrgrund","do_sperre_ende","do_entnommen","do_verz_protokoll","do_microfilm","do_reg_sgnatur","do_update","do_create","do_systematik1","do_systematik2","do_archivsignatur_alt","do_enthaelt","do_darin","do_aktentitel","do_beschreibung","do_verweis","do_kontext_link","do_transkription_link","do_reservefeld","do_dateiname","do_idart","do_teaserheadline","do_teaserbild","do_teasertext","do_urn"
"2162","663","663","Die Schöffen zu Magdeburg bestätigen, dass ihnen der Ratsschreiber David Nesener das Original einer Urkunde von Kaiser Friedrich III. vom 16. September 1483 vorgelegt hat und sie davon das folgende Transsumpt angefertigt haben, Magdeburg, 21. Dezember 1627.","1627-12-21","1627-12-21","Österreichisches Staatsarchiv, Haus-, Hof- und Staatsarchiv Wien",,,"Teil einer Sammelakte.",,,,,,,,,"2025-06-18 07:39:27","2025-06-18 07:30:56","03 Schöffenstuhl","Stadtverfassung","Österreichisches Staatsarchiv, Haus-, Hof- und Staatsarchiv Wien, RHR Judicialia Antiqua 277e-2, fol. 44r-46v",,,"Magdeburg; Bestätigung der Privilegien","Ausfertigung, Tinte auf Papier, Kanzleivermerke, Siegelabdruck unter dem Text.",,,,,"00419842.jpg;00419843.jpg;00419844.jpg;00419845.jpg","0",,,,"urn:nbn:de:gbv:ma26-2503130643132.278319541149"
"2163","664","664","Die Schöffen zu Magdeburg bestätigen, dass ihnen der Oberstadtschreiber Johann Salig das Original des Vertrags zwischen der Stadt und Erzbischof Burchard III. von Magdeburg vom 24. November 1309 vorgelegt hat und sie das vorliegende Transsumpt angefertigt haben, Magdeburg, 4. Januar 1612.","1612-01-04","1612-01-04","Österreichisches Staatsarchiv, Haus-, Hof- und Staatsarchiv Wien",,,"Teil einer Sammelakte.",,,,,,,,,"2025-06-18 07:39:27","2025-06-18 07:30:56","03 Schöffenstuhl","Stadtverfassung","Österreichisches Staatsarchiv, Haus-, Hof- und Staatsarchiv Wien, RHR Judicialia Antiqua 277e-2, fol. 48r-52r",,,"Magdeburg; Bestätigung der Privilegien","Ausfertigung, Tinte auf Papier, Kanzleivermerke, Siegelabdruck unter dem Text.",,,,,"00419846.jpg;00419847.jpg;00419848.jpg;00419849.jpg;00419850.jpg","0",,,,"urn:nbn:de:gbv:ma26-2502280703005.637943121997"
"2164","665","665","Die Schöffen zu Magdeburg bestätigen, dass ihnen der Oberstadtschreiber Johann Salig das Original einer Urkunde von Karl IV. vom 13. Juni 1377 vorgelegt hat und sie davon das folgende Transsumpt angefertigt haben, Magdeburg, 13. August 1599.","1599-08-13","1599-08-13","Österreichisches Staatsarchiv, Haus-, Hof- und Staatsarchiv Wien",,,"Teil einer Sammelakte.",,,,,,,,,"2025-06-18 07:39:27","2025-06-18 07:30:56","03 Schöffenstuhl","Stadtverfassung","Österreichisches Staatsarchiv, Haus-, Hof- und Staatsarchiv Wien, RHR Judicialia Antiqua 277e-2, fol. 55r-59r",,,"Magdeburg; Bestätigung der Privilegien","Ausfertigung, Tinte auf Papier, Kanzleivermerke, Siegelabdruck unter dem Text.",,,,,"00419853.jpg;00419854.jpg;00419855.jpg;00419856.jpg;00419857.jpg","0",,,,"urn:nbn:de:gbv:ma26-2502280703134.605124586951"
"2165","666","666","Die Schöffen zu Magdeburg bestätigen, dass ihnen der Ratsschreiber David Nesener die Originale der Urkunden von Otto II. von 975 und von Konrad II. von 1024 vorgelegt hat und sie davon die folgenden Transsumpte angefertigt haben, Magdeburg, 26. Dezember 1627.","1627-12-26","1627-12-26","Österreichisches Staatsarchiv, Haus-, Hof- und Staatsarchiv Wien",,,"Teil einer Sammelakte.",,,,,,,,,"2025-06-18 07:39:27","2025-06-18 07:30:56","03 Schöffenstuhl","Stadtverfassung","Österreichisches Staatsarchiv, Haus-, Hof- und Staatsarchiv Wien, RHR Judicialia Antiqua 277e-2, fol. 140r-143v",,,"Magdeburg; Bestätigung der Privilegien","Ausfertigung, Tinte auf Papier, Kanzleivermerke, Siegelabdruck unter dem Text.",,,,,"00419859.jpg;00419860.jpg;00419861.jpg;00419862.jpg;00419863.jpg","0",,,,"urn:nbn:de:gbv:ma26-2502280703261.639894851908"
"2166","667","667","Rat und Innungsmeister der Schmiede der Stadt Magdeburg berichten über ihren Konflikt mit den Schwertfegern und bitten deren Klage und Forderung zurückzuweisen, Magdeburg, 23. April 1563.","1563-04-23","1563-04-23","Österreichisches Staatsarchiv, Haus-, Hof- und Staatsarchiv Wien",,,"Teil einer Sammelakte.",,,,,,,,,"2025-06-18 07:39:27","2025-06-18 07:30:56","04 Innungen","Gewerbe","Österreichisches Staatsarchiv, Haus-, Hof- und Staatsarchiv Wien, RHR Judicialia Antiqua 277e-1, fol. 3r-13r",,,"Magdeburg contra Magdeburg; Streit um Innungsrechte sowie u. a. um Herstellung und Vertrieb von Degen, Dolchen und Messern","Abschrift, Tinte auf Papier",,,,,"00419362.jpg;00419363.jpg;00419364.jpg;00419365.jpg;00419366.jpg;00419367.jpg;00419368.jpg;00419369.jpg;00419370.jpg;00419371.jpg;00419372.jpg","0",,,,"urn:nbn:de:gbv:ma26-2502280703386.113296006848"
"2167","668","668","Bürgermeister, Rat und Innungsmeister der Stadt Magdeburg bekennen, dass die Innung der Schmiede die Innung der Schwertfeger angezeigt haben, weil diese Messer anfertigen und verkaufen, was die Schwertfeger jedoch bestritten haben, woraufhin der Rat diese ermahnte, keine Messer anzufertigen und zu verkaufen, Magdeburg, 18. März 1561.","1561-03-18","1561-03-18","Österreichisches Staatsarchiv, Haus-, Hof- und Staatsarchiv Wien",,,"Teil einer Sammelakte.",,,,,,,,,"2025-06-18 07:47:48","2025-06-18 07:30:56","04 Innungen","Gewerbe","Österreichisches Staatsarchiv, Haus-, Hof- und Staatsarchiv Wien, RHR Judicialia Antiqua 277e-1, fol. 16r-16v",,,"Magdeburg contra Magdeburg; Streit um Innungsrechte sowie u. a. um Herstellung und Vertrieb von Degen, Dolchen und Messern","Abschrift, Tinte auf Papier",,,,,"00419375.jpg;00419376.jpg","0",,,,"urn:nbn:de:gbv:ma26-2502280703515.701026081359"
"2168","669","669","Die Schwertfeger der Stadt Magdeburg berichten über ihren Konflikt mit den Schmieden, Magdeburg, 7. Juli 1561.","1561-07-07","1561-07-07","Österreichisches Staatsarchiv, Haus-, Hof- und Staatsarchiv Wien",,,"Teil einer Sammelakte.",,,,,,,,,"2025-06-18 07:39:27","2025-06-18 07:30:56","04 Innungen","Gewerbe","Österreichisches Staatsarchiv, Haus-, Hof- und Staatsarchiv Wien, RHR Judicialia Antiqua 277e-1, fol. 31r-52r","Beilagen: Der Rat der Stadt Magdeburg bestätigt die Schwertfegerinnung, 22. Mai 1244 (Abschr.).- Erzbischof Otto von Magdeburg bestätigt die Rechte der Becken- und Messingfeger, 10. November 1339 (Abschr.).- Erzbischof Günther II. von Magdeburg bestätigt ",,"Magdeburg contra Magdeburg; Streit um Innungsrechte sowie u. a. um Herstellung und Vertrieb von Degen, Dolchen und Messern","Abschrift, Tinte auf Papier",,,,,"00419391.jpg;00419392.jpg;00419393.jpg;00419394.jpg;00419395.jpg;00419396.jpg;00419397.jpg;00419398.jpg;00419399.jpg;00419400.jpg;00419401.jpg;00419402.jpg;00419403.jpg;00419404.jpg;00419407.jpg;00419408.jpg;00419409.jpg;00419410.jpg;00419411.jpg;00419412.jpg","0",,,,"urn:nbn:de:gbv:ma26-2502280704062.366950257907"
"2169","670","670","Die Schwertfeger der Stadt Magdeburg stellen fest, dass die Schmiedeinnung mehrere Fristen für eine Antwort auf ihre Klage verstreichen lassen haben, und wollen sich nun an Erzbischof und Kaiser wenden, Magdeburg, 8. November 1561.","1561-11-08","1561-11-08","Österreichisches Staatsarchiv, Haus-, Hof- und Staatsarchiv Wien",,,"Teil einer Sammelakte.",,,,,,,,,"2025-06-18 07:39:27","2025-06-18 07:30:56","04 Innungen","Gewerbe","Österreichisches Staatsarchiv, Haus-, Hof- und Staatsarchiv Wien, RHR Judicialia Antiqua 277e-1, fol. 57r-58v",,,"Magdeburg contra Magdeburg; Streit um Innungsrechte sowie u. a. um Herstellung und Vertrieb von Degen, Dolchen und Messern","Abschrift, Tinte auf Papier, Kanzleivermerk",,,,,"00419417.jpg;00419418.jpg;00419419.jpg;670_00419419.jpg","0",,,,"urn:nbn:de:gbv:ma26-2502280659508.485903656620"
"2170","671","671","Die Schwertfeger der Stadt Magdeburg stellen erneut fest, dass die Schmiedeinnung mehrere Fristen für eine Antwort auf ihre Klage verstreichen lassen hat, legen nochmal detailliert ihre Ansicht zum Streit und der Verzögerung durch die Schmiede dar und wollen sich nun an Erzbischof und Kaiser wenden, Magdeburg, 1561.","1561-01-01","1561-12-31","Österreichisches Staatsarchiv, Haus-, Hof- und Staatsarchiv Wien",,,"Teil einer Sammelakte.",,,,,,,,,"2025-06-18 07:39:27","2025-06-18 07:30:56","04 Innungen","Gewerbe","Österreichisches Staatsarchiv, Haus-, Hof- und Staatsarchiv Wien, RHR Judicialia Antiqua 277e-1, fol. 59r-62v",,,"Magdeburg contra Magdeburg; Streit um Innungsrechte sowie u. a. um Herstellung und Vertrieb von Degen, Dolchen und Messern","Abschrift, Tinte auf Papier, Kanzleivermerk",,,,,"00419419.jpg;671_00419419.jpg;00419420.jpg;00419421.jpg;00419422.jpg;00419423.jpg","0",,,,"urn:nbn:de:gbv:ma26-2502280700062.332247914880"
"2171","672","672","Erzbischofs Sigismund von Magdeburg teilt dem Rat der Stadt Magdeburg mit, dass er die Schmiede und Schwertfeger zur Streitschlichtung vorgeladen hatte, sie aber fern blieben und bittet ihn, sich um eine Schlichtung zu bemühen, Halle, 18. April 1561.","1561-04-18","1561-04-18","Österreichisches Staatsarchiv, Haus-, Hof- und Staatsarchiv Wien",,,"Teil einer Sammelakte.",,,,,,,,,"2025-06-18 07:39:27","2025-06-18 07:30:56","04 Innungen","Gewerbe","Österreichisches Staatsarchiv, Haus-, Hof- und Staatsarchiv Wien, RHR Judicialia Antiqua 277e-1, fol. 69r-69v",,,"Magdeburg contra Magdeburg; Streit um Innungsrechte sowie u. a. um Herstellung und Vertrieb von Degen, Dolchen und Messern","Abschrift, Tinte auf Papier, Kanzleivermerk",,,,,"00419424.jpg;00419425.jpg","0",,,,"urn:nbn:de:gbv:ma26-2502280700197.188689453034"
"2172","673","673","Die Schöffen zu Magdeburg bestätigen, dass die Schwertfeger Joachim Eggeligk zu ihrem Anwalt im Streit mit den Schmieden eingesetzt haben, Magdeburg, 4. März 1561.","1561-03-04","1561-03-04","Österreichisches Staatsarchiv, Haus-, Hof- und Staatsarchiv Wien",,,"Teil einer Sammelakte.",,,,,,,,,"2025-06-18 07:39:27","2025-06-18 07:30:56","04 Innungen","Gewerbe","Österreichisches Staatsarchiv, Haus-, Hof- und Staatsarchiv Wien, RHR Judicialia Antiqua 277e-1, fol. 69r-70v",,,"Magdeburg contra Magdeburg; Streit um Innungsrechte sowie u. a. um Herstellung und Vertrieb von Degen, Dolchen und Messern","Abschrift, Tinte auf Papier, Kanzleivermerk",,,,,"00419429.jpg;00419430.jpg;00419431.jpg","0",,,,"urn:nbn:de:gbv:ma26-2502280700345.961191233167"
"2173","674","674","Die Schwertfeger der Stadt Magdeburg stellen fest, dass die Schmiedeinnung mehrere vom Kaiser, vom Erzbischof und anderen gesetzte Fristen für eine Antwort auf ihre Klage verstreichen lassen hat, setzen nun eine letzte Frist und und bekräftigen, dass ein weiteres Entgegenkommen ihrerseits ausgeschlossen sei, Magdeburg, 5. September 1561.","1561-09-05","1561-09-05","Österreichisches Staatsarchiv, Haus-, Hof- und Staatsarchiv Wien",,,"Teil einer Sammelakte.",,,,,,,,,"2025-06-18 07:39:27","2025-06-18 07:30:56","04 Innungen","Gewerbe","Österreichisches Staatsarchiv, Haus-, Hof- und Staatsarchiv Wien, RHR Judicialia Antiqua 277e-1, fol. 72r-73v",,,"Magdeburg contra Magdeburg; Streit um Innungsrechte sowie u. a. um Herstellung und Vertrieb von Degen, Dolchen und Messern","Abschrift, Tinte auf Papier, Kanzleivermerk",,,,,"00419432.jpg;00419433.jpg;00419434.jpg;674_00419434.jpg","0",,,,"urn:nbn:de:gbv:ma26-2502280700500.671337901357"
"2174","675","675","Die Schwertfeger der Stadt Magdeburg schildern dem Erzbischof Sigismund von Magdeburg ihre Auseinandersetzung mit den Grobschmieden und bitten darum, mit ihrem Anliegen zur Gründung einer neuen Gilde an den Kaiser verwiesen zu werden, Magdeburg, 22. März 1563.","1563-03-22","1563-03-22","Österreichisches Staatsarchiv, Haus-, Hof- und Staatsarchiv Wien",,,"Teil einer Sammelakte.",,,,,,,,,"2025-06-18 07:39:27","2025-06-18 07:30:56","04 Innungen","Gewerbe","Österreichisches Staatsarchiv, Haus-, Hof- und Staatsarchiv Wien, RHR Judicialia Antiqua 277e-1, fol. 74r-75v",,,"Magdeburg contra Magdeburg; Streit um Innungsrechte sowie u. a. um Herstellung und Vertrieb von Degen, Dolchen und Messern","Ausfertigung, Tinte auf Papier, Siegelabdruck auf der Rückseite",,,,,"00419434.jpg;675_00419434.jpg;00419435.jpg;00419436.jpg","0",,,,"urn:nbn:de:gbv:ma26-2502280701039.836365849659"
"2175","676","676","Erzbischofs Sigismund von Magdeburg teilt dem Rat der Stadt Magdeburg mit, dass er vom Kaiser auf den Ungehorsam der Grobschmiede hingewiesen wurde. Der Rat solle sich um eine schnelle Antwort der Grobschmiede bemühen, Wolmirstedt, 15. November 1561.","1561-11-15","1561-11-15","Österreichisches Staatsarchiv, Haus-, Hof- und Staatsarchiv Wien",,,"Teil einer Sammelakte.",,,,,,,,,"2025-06-18 07:39:27","2025-06-18 07:30:56","04 Innungen","Gewerbe","Österreichisches Staatsarchiv, Haus-, Hof- und Staatsarchiv Wien, RHR Judicialia Antiqua 277e-1, fol. 77r-78v",,,"Magdeburg contra Magdeburg; Streit um Innungsrechte sowie u. a. um Herstellung und Vertrieb von Degen, Dolchen und Messern","Abschrift, Tinte auf Papier, Kanzleivermerk",,,,,"00419437.jpg;00419438.jpg;00419439.jpg","0",,,,"urn:nbn:de:gbv:ma26-2502280701186.451300712898"
"2176","677","677","Die Schwertfeger der Stadt Magdeburg schildern dem Kaiser ihre jahrelange Auseinandersetzung mit den Grobschmieden, in der sie trotz eines erzbischöflichen Befehls weiter Schaden erleiden und bitten um Unterstützung bei der Erlangung ihres Rechts, Magdeburg, 3. März 1568.","1568-03-03","1568-03-03","Österreichisches Staatsarchiv, Haus-, Hof- und Staatsarchiv Wien",,,"Teil einer Sammelakte.",,,,,,,,,"2025-06-18 07:39:27","2025-06-18 07:30:56","04 Innungen","Gewerbe","Österreichisches Staatsarchiv, Haus-, Hof- und Staatsarchiv Wien, RHR Judicialia Antiqua 277e-1, fol. 81r-84v",,,"Magdeburg contra Magdeburg; Streit um Innungsrechte sowie u. a. um Herstellung und Vertrieb von Degen, Dolchen und Messern","Ausfertigung, Tinte auf Papier, Siegelabdruck auf der Rückseite",,,,,"00419441.jpg;00419442.jpg;00419443.jpg;00419444.jpg;00419445.jpg","0",,,,"urn:nbn:de:gbv:ma26-2502280701351.444654880217"
"2177","678","678","Der Rat der Stadt Magdeburg bestätigt das Privileg der Schwertfegerinnung vom 22. Mai 1244, Magdeburg, um 1560.","1560-01-01","1560-12-31","Österreichisches Staatsarchiv, Haus-, Hof- und Staatsarchiv Wien",,,"Teil einer Sammelakte.",,,,,,,,,"2025-06-18 07:39:27","2025-06-18 07:30:56","04 Innungen","Gewerbe","Österreichisches Staatsarchiv, Haus-, Hof- und Staatsarchiv Wien, RHR Judicialia Antiqua 277e-1, fol. 89r-89v",,,"Magdeburg contra Magdeburg; Streit um Innungsrechte sowie u. a. um Herstellung und Vertrieb von Degen, Dolchen und Messern","Beglaubigte Abschrift, Tinte auf Papier, Siegel abgeschnitten",,,,,"00419450.jpg;00419451.jpg","0",,,,"urn:nbn:de:gbv:ma26-2502280701476.439272052062"
"2178","679","679","Kaiserlicher Befehl an die Stadt Magdeburg, die Schwertfeger in ihren Rechten zu schützen, Wien, 3. April 1568.","1568-04-03","1568-04-03","Österreichisches Staatsarchiv, Haus-, Hof- und Staatsarchiv Wien",,,"Teil einer Sammelakte.",,,,,,,,,"2025-06-18 07:39:27","2025-06-18 07:30:56","04 Innungen","Gewerbe","Österreichisches Staatsarchiv, Haus-, Hof- und Staatsarchiv Wien, RHR Judicialia Antiqua 277e-1, fol. 90r-90v",,,"Magdeburg contra Magdeburg; Streit um Innungsrechte sowie u. a. um Herstellung und Vertrieb von Degen, Dolchen und Messern","Konzept, Tinte auf Papier, Kanzleivermerke",,,,,"00419452.jpg;00419453.jpg;679_00419453.jpg","0",,,,"urn:nbn:de:gbv:ma26-2502280702016.117978341110"
"2179","680","680","Kaiserlicher Befehl an die Stadt Magdeburg, die Schmiede ernstlich zur Restitution gegenüber den Schwertfegern anzuhalten und zu beiliegendem Entwurf der Privilegienbestätigung für die Schwertfeger Stellung zu nehmen, Wien, 23. Juni 1568.","1568-06-23","1568-06-23","Österreichisches Staatsarchiv, Haus-, Hof- und Staatsarchiv Wien",,,"Teil einer Sammelakte.",,,,,,,,,"2025-06-18 07:39:27","2025-06-18 07:30:56","04 Innungen","Gewerbe","Österreichisches Staatsarchiv, Haus-, Hof- und Staatsarchiv Wien, RHR Judicialia Antiqua 277e-1, fol. 91r-92r",,,"Magdeburg contra Magdeburg; Streit um Innungsrechte sowie u. a. um Herstellung und Vertrieb von Degen, Dolchen und Messern","Konzept, Tinte auf Papier, Kanzleivermerke","Nr._681",,,,"00419453.jpg;680_00419453.jpg;00419454.jpg","0",,,,"urn:nbn:de:gbv:ma26-2502280702303.710280716010"
"2180","681","681","Maximilian II. bestätigt die 15 Artikel des Privilegs der Magdeburger Schwertfeger, Wien, 1568.","1568-01-01","1568-12-31","Österreichisches Staatsarchiv, Haus-, Hof- und Staatsarchiv Wien",,,"Teil einer Sammelakte.",,,,,,,,,"2025-06-18 07:39:27","2025-06-18 07:30:56","04 Innungen","Gewerbe","Österreichisches Staatsarchiv, Haus-, Hof- und Staatsarchiv Wien, RHR Judicialia Antiqua 277e-1, fol. 93r-98v",,,"Magdeburg contra Magdeburg; Streit um Innungsrechte sowie u. a. um Herstellung und Vertrieb von Degen, Dolchen und Messern","Entwurf, Tinte auf Papier, Kanzleivermerke","Nr._680",,,,"00419455.jpg;00419456.jpg;00419457.jpg;00419458.jpg;00419459.jpg;00419460.jpg;00419461.jpg;00419462.jpg;00419463.jpg","0",,,,"urn:nbn:de:gbv:ma26-2503130632271.705710574730"
"2181","682","682","Kaiser Ferdinand fordert von der Stadt Magdeburg jegliche Unterstützung der Aufrührer um Wilhelm von Grumbach zu unterlassen und die Exekution der Reichsacht zu unterstützen, Wien, 18. Januar 1564.","1564-01-18","1564-01-18","Österreichisches Staatsarchiv, Haus-, Hof- und Staatsarchiv Wien",,,"Teil einer Sammelakte.",,,,,,,,,"2025-06-18 07:39:27","2025-06-18 07:30:56","02.01.01 Kaiser und Reich","Diplomatie","Österreichisches Staatsarchiv, Haus-, Hof- und Staatsarchiv Wien, RK Reichsakten in gen 46-53, fol. 254r-255v",,,"Schreiben von Ferdinand an die Stadt Magdeburg betreffend die Acht von Grumbach","Entwurf, Tinte auf Papier, Kanzleivermerke",,,,,"00421000.jpg;00421001.jpg;00421002.jpg","0",,,,"urn:nbn:de:gbv:ma26-2503130632440.684633196743"
"2182","683","683","Kaiser Maximilian II. befiehlt dem Fürst von Anhalt-Zerbst, dem Magdeburger Domkapitel und der Stadt Magdeburg, die Erhöhung des Zolls und der Gebühren für das freie Geleit rückgängig zu machen. Falls sie glauben, Urkunden zu besitzen, die sie zur Erhöhung berechtigen, sollen sie diese auf dem Reichstag in Speyer in der Reichskanzlei vorlegen, Prag, 10. Mai 1570.","1570-05-10","1570-05-10","Österreichisches Staatsarchiv, Haus-, Hof- und Staatsarchiv Wien",,,"Teil einer Sammelakte.",,,,,,,,,"2025-06-18 07:39:27","2025-06-18 07:30:56","02.01.01 Kaiser und Reich","Diplomatie","Österreichisches Staatsarchiv, Haus-, Hof- und Staatsarchiv Wien, RHR Judicialia Antiqua 12-4b, fol. 1r-2v",,,"Sachsen contra Anhalt-Zerbst und Magdeburg; Bitte um kaiserliche Verfügung gegen Erhöhung von Zöllen und Gebühren","Entwurf, Tinte auf Papier, Kanzleivermerke",,,,,"00420501.jpg;00420502.jpg;00420503.jpg","0",,,,"urn:nbn:de:gbv:ma26-2503130633008.321602966727"
"2183","684","684","Kaiser Maximilian II. wendet sich auf Bitte von Dr. med. Johannes Sagerius an die Stadt Magdeburg und fordert sie auf, den genannten Sagerius aufzunehmen und Wohnrecht zu gewähren, Wien, 3. September 1572.","1572-09-03","1572-09-03","Österreichisches Staatsarchiv, Haus-, Hof- und Staatsarchiv Wien",,,"Teil einer Sammelakte.",,,,,,,,,"2025-06-18 07:39:27","2025-06-18 07:30:56","02.01.01 Kaiser und Reich","Juristische Angelegenheiten","Österreichisches Staatsarchiv, Haus-, Hof- und Staatsarchiv Wien, RHR Judicialia miscellanea 80-10, fol. 1r-2v","Beilage: Bittschreiben des Dr. Sagerius an den Kaiser.",,"Sachsen contra Anhalt-Zerbst und Magdeburg; Bitte um kaiserliche Verfügung gegen Erhöhung von Zöllen und Gebühren","Entwurf, Tinte auf Papier, Kanzleivermerke",,,,,"00420368.jpg;00420369.jpg;00420370.jpg;00420371.jpg","0",,,,"urn:nbn:de:gbv:ma26-2503130633181.644881305713"
"2184","685","685","Bürgermeister, Rat und Innungsmeister der Sudenburg bekennen, Erasmus Mauritz [Moritz] für 300 Gulden einen Zins von 15 Gulden auf Wiederkauf verkauft zu haben. Die Zinsen gehen an ein Benefizium in der Marienkapelle in Mariendorf, Magdeburg, 28. September 1508.","1508-09-29","1508-09-29","Österreichisches Staatsarchiv, Haus-, Hof- und Staatsarchiv Wien",,,"Teil einer Sammelakte. Die mittelalterliche jüdische Gemeinde von Magdeburg siedelte am Rand der Sudenburg nahe des heutigen Buckauer Sülzehafens. Nach der Vertreibung der Magdeburger Juden auf Befehl von Erzbischof Ernst im Jahre 1493 wurde die Synagoge in eine Marienkapelle umgewandelt, die Siedlung in Mariendorf umbenannt und der  Sudenburg zugeschlagen.",,,,,,,,,"2025-06-18 08:12:02","2025-06-18 07:30:56","07. Vorstädte","Frömmigkeit","Österreichisches Staatsarchiv, Haus-, Hof- und Staatsarchiv Wien, RHR Judicialia Antiquissima 2-77, fol. 221rv, 224r",,,"Sachsen contra Anhalt-Zerbst und Magdeburg; Bitte um kaiserliche Verfügung gegen Erhöhung von Zöllen und Gebühren","beglaubigte Abschrift, Tinte auf Papier, Kanzleivermerke",,,,,"00420372.jpg;00420373.jpg;685_00420373.jpg;00420375.jpg","0",,,,"urn:nbn:de:gbv:ma26-2503130633393.550186691460"
"2185","686","686","Bürgermeister, Rat und Innungsmeister der Sudenburg bekennen, Erasmus Mauritz [Moritz] für 300 Gulden einen Zins von 15 Gulden auf Wiederkauf verkauft zu haben. Die Zinsen gehen an ein Benefizium in der Pfarrkirche St. Ambrosius zum Altar St. Georg, Erasmus und Laurentius, Magdeburg, 28. September 1508.","1508-09-29","1508-09-29","Österreichisches Staatsarchiv, Haus-, Hof- und Staatsarchiv Wien",,,"Teil einer Sammelakte.",,,,,,,,,"2025-06-18 07:39:27","2025-06-18 07:30:56","07. Vorstädte","Frömmigkeit","Österreichisches Staatsarchiv, Haus-, Hof- und Staatsarchiv Wien, RHR Judicialia Antiquissima 2-77, fol. 222r - 223r",,,"Sachsen contra Anhalt-Zerbst und Magdeburg; Bitte um kaiserliche Verfügung gegen Erhöhung von Zöllen und Gebühren","beglaubigte Abschrift, Tinte auf Papier, Kanzleivermerke",,,,,"00420373.jpg;686_00420373.jpg;00420374.jpg","0",,,,"urn:nbn:de:gbv:ma26-2503130633583.550323725302"
"2186","687","687","Friedrich Ulrich von Britzken erläutert auch im Namen der anderen Eischlebischen Erben Bürgermeister, Rat und Innungsmeister der Stadt Magdeburg die Probleme im Zusammenhang mit dem strittigen Geldgeschäft, 1628.","1628-01-01","1628-12-31","Österreichisches Staatsarchiv, Haus-, Hof- und Staatsarchiv Wien",,,"Teil einer Sammelakte.",,,,,,,,,"2025-06-18 07:39:27","2025-06-18 07:30:56","02.02.03 Kämmerei und Schuldenwesen","Geldangelegenheiten (privat)","Österreichisches Staatsarchiv, Haus-, Hof- und Staatsarchiv Wien, RHR Decisa 1418-26, unfol.",,,"Eischleben [!] contra Magdeburg; jährlich verschriebene Renten","Ausfertigung, Tinte auf Papier, beschädigt, unfol.",,,,,"00421265.jpg","0",,,,"urn:nbn:de:gbv:ma26-2503130634151.548221125311"
"2187","688","688","Bürgermeister, Rat und Innungsmeister der Stadt Magdeburg verkaufen Heinrich Meyer, Münzmeister der Stadt, für die Hauptsumme von 5000 Talern einen wiederkäuflichen Zins in Höhe von jährlich 250 Talern. Für eventuellen Schaden während seiner Tätigkeit als Münzemeister haftete er sowohl mit seinem Eigentum als auch mit seinem eingesetzten Kapital, das als Kaution für sein Amt angesehen wird, Magdeburg, 31. Januar 1616.","1616-01-31","1616-01-31","Österreichisches Staatsarchiv, Haus-, Hof- und Staatsarchiv Wien",,,"Teil einer Sammelakte.",,,,,,,,,"2025-06-18 07:39:27","2025-06-18 07:30:56","02.02.03 Kämmerei und Schuldenwesen","Geldangelegenheiten (privat)","Österreichisches Staatsarchiv, Haus-, Hof- und Staatsarchiv Wien, RHR Decisa 1418-26, unfol.",,,"Eischleben [!] contra Magdeburg; jährlich verschriebene Renten","beglaubigte Abschrift (25. Jan. 1628), Tinte auf Papier, beschädigt, unfol.",,,,,"00421266.jpg;00421267.jpg;00421268.jpg;688_00421268.jpg","0",,,,"urn:nbn:de:gbv:ma26-2503130634351.100291092671"
"2188","689","689","Heinrich Meyer, Münzmeister der Stadt Magdeburg, bekennt, dass er beim Rat eine verzinste Kaution von 5000 Talern hinterlegt hat, der Anspruch auf die Hauptsumme und die Zinsen unterdessen aber an Hans Georg von Eilschleben auf Osterwieck übergegangen sind, und bedankt sich, dass er im Amt bleiben kann, obwohl er nun keine Kaution mehr stellt, Magdeburg, 28. Oktober 1619.","1619-10-28","1619-10-28","Österreichisches Staatsarchiv, Haus-, Hof- und Staatsarchiv Wien",,,"Teil einer Sammelakte.",,,,,,,,,"2025-06-18 07:39:27","2025-06-18 07:30:56","02.02.03 Kämmerei und Schuldenwesen","Geldangelegenheiten (privat)","Österreichisches Staatsarchiv, Haus-, Hof- und Staatsarchiv Wien, RHR Decisa 1418-26, unfol.",,,"Eischleben [!] contra Magdeburg; jährlich verschriebene Renten","beglaubigte Abschrift (25. Jan. 1628), Tinte auf Papier, beschädigt, unfol.",,,,,"00421268.jpg;689_00421268.jpg;00421269.jpg;00421270.jpg;00421271.jpg;00421272.jpg","0",,,,"urn:nbn:de:gbv:ma26-2503130634575.403458943988"
